Index,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL,Entry,OM,SL,UT SL
SENSEX,09:30:00,ATMS-1,40,TTC,10:32:00,ATMS-1,40,TTC,11:32:00,ATMS-1,50,TTC,12:32:00,ATMS-1,60,TTC,13:32:00,ATMS-1,70,TTC,14:32:00,ATMS-1,75,TTC
SENSEX,09:32:00,ATMS-1,40,TTC,10:34:00,ATMS-1,40,TTC,11:34:00,ATMS-1,50,TTC,12:34:00,ATMS-1,60,TTC,13:34:00,ATMS-1,70,TTC,14:34:00,ATMS-1,75,TTC
SENSEX,09:34:00,ATMS-1,40,TTC,10:36:00,ATMS-1,40,TTC,11:36:00,ATMS-1,50,TTC,12:36:00,ATMS-1,60,TTC,13:36:00,ATMS-1,70,TTC,14:36:00,ATMS-1,75,TTC
SENSEX,09:36:00,ATMS-1,40,TTC,10:38:00,ATMS-1,40,TTC,11:38:00,ATMS-1,50,TTC,12:38:00,ATMS-1,60,TTC,13:38:00,ATMS-1,70,TTC,14:38:00,ATMS-1,75,TTC
SENSEX,09:38:00,ATMS-1,40,TTC,10:40:00,ATMS-1,40,TTC,11:40:00,ATMS-1,50,TTC,12:40:00,ATMS-1,60,TTC,13:40:00,ATMS-1,70,TTC,14:40:00,ATMS-1,75,TTC
SENSEX,09:40:00,ATMS-1,40,TTC,10:42:00,ATMS-1,40,TTC,11:42:00,ATMS-1,50,TTC,12:42:00,ATMS-1,60,TTC,13:42:00,ATMS-1,70,TTC,14:42:00,ATMS-1,75,TTC
SENSEX,09:42:00,ATMS-1,40,TTC,10:44:00,ATMS-1,40,TTC,11:44:00,ATMS-1,50,TTC,12:44:00,ATMS-1,60,TTC,13:44:00,ATMS-1,70,TTC,14:44:00,ATMS-1,75,TTC
SENSEX,09:44:00,ATMS-1,40,TTC,10:46:00,ATMS-1,40,TTC,11:46:00,ATMS-1,50,TTC,12:46:00,ATMS-1,60,TTC,13:46:00,ATMS-1,70,TTC,14:46:00,ATMS-1,75,TTC
SENSEX,09:46:00,ATMS-1,40,TTC,10:48:00,ATMS-1,40,TTC,11:48:00,ATMS-1,50,TTC,12:48:00,ATMS-1,60,TTC,13:48:00,ATMS-1,70,TTC,14:48:00,ATMS-1,75,TTC
SENSEX,09:48:00,ATMS-1,40,TTC,10:50:00,ATMS-1,40,TTC,11:50:00,ATMS-1,50,TTC,12:50:00,ATMS-1,60,TTC,13:50:00,ATMS-1,70,TTC,14:50:00,ATMS-1,75,TTC
SENSEX,09:50:00,ATMS-1,40,TTC,10:52:00,ATMS-1,40,TTC,11:52:00,ATMS-1,50,TTC,12:52:00,ATMS-1,60,TTC,13:52:00,ATMS-1,70,TTC,14:52:00,ATMS-1,75,TTC
SENSEX,09:52:00,ATMS-1,40,TTC,10:54:00,ATMS-1,40,TTC,11:54:00,ATMS-1,50,TTC,12:54:00,ATMS-1,60,TTC,13:54:00,ATMS-1,70,TTC,14:54:00,ATMS-1,75,TTC
SENSEX,09:54:00,ATMS-1,40,TTC,10:56:00,ATMS-1,40,TTC,11:56:00,ATMS-1,50,TTC,12:56:00,ATMS-1,60,TTC,13:56:00,ATMS-1,70,TTC,14:56:00,ATMS-1,75,TTC
SENSEX,09:56:00,ATMS-1,40,TTC,10:58:00,ATMS-1,40,TTC,11:58:00,ATMS-1,50,TTC,12:58:00,ATMS-1,60,TTC,13:58:00,ATMS-1,70,TTC,14:58:00,ATMS-1,75,TTC
SENSEX,09:58:00,ATMS-1,40,TTC,11:00:00,ATMS-1,40,TTC,12:00:00,ATMS-1,50,TTC,13:00:00,ATMS-1,60,TTC,14:00:00,ATMS-1,70,TTC,15:00:00,ATMS-1,75,TTC
